AABB CCDD EEFF 1122  1122 3344 5566 7788  FEF9 3EAF AEF9 FFA9  EB67
0052 0600 DFE2 1FE1  0052 3DC1 1F71 01F0  FF9E 01FF 001E 000F  1111
01FD 021F BF0F 20DF  01FD 201F BF8F 00FF  FE00 FFE0 3FF0 FF01  FEFF
07C1 3DFF BC1E 7FA0  0F40 47FF B003 7F9D  F03F C000 3FFF 807F  C081
FBFF 007F F800 0F00  FFF0 03FF FDFF F030  FFFF 0000 1F00 00F7  3F39
0000 1E2F C000 F181  FFFF E000 0000 0000  FFFF E1CF FFFF 0E7F  4E81
F801 FFFF FFF0 0000  0000 27FC 0000 8FC1  FFFF C001 FFFF EFFF  F001
0000 0034 05FF FF61  0000 0008 0007 FB89  FFFF 0007 FC00 007F  4081
01FF 87FE FC07 C021  01FE 87FF 4005 D01D  FE00 7800 FFF8 3FDF  C3E1
F800 07FF C3FF F9FF  FFE0 1FFF C000 7FFE  FFF8 000F FFE0 0001  FFFF
0FFF FFFF FFFF C020  0FF8 7C00 01FF FE01  EFFF FFFF FFFF FFFF  0001
