A,B,N,N'(0),R,N BIT TOTAL,N BITS PER WORD,N WORDS,GOLDEN_RESULT,MODULE_RESULT,PASSED
AABBCCDDEEFF1122,1122334455667788,FEF93EAFAEF9FFA9,67,10000000000000000,64,8,8,91FF87C0984891FE,91FF87C0984891FE,YES
FF9E01FF001E000F,FFF007FFE0001FF0,FFF03FC01F8F01FF,01,10000000000000000,64,8,8,18887581F0F90477,009E808FC977E977,NO
FE00FFE03FF0FF01,FFFE01FFFF001FE0,FFFE1FFFFF7FFFFF,01,10000000000000000,64,8,8,7E3BB241701F04D9,0002146C41DFA61A,NO
F03FC0003FFF807F,F800FDFFFC1E001F,FF8007FFF003001B,ED,10000000000000000,64,8,8,F6C0F45FE057CA48,00B7BE3BBE05095F,NO
FFFF00001F0000F8,FBFF007FF8000F00,FFF003FFFDFFF02F,31,10000000000000000,64,8,8,5CE4066E9F67569E,01FAF8C46CD830CD,NO
FFFFC001FFFFF000,F801FFFFFFF00000,FFFFE7FE00007FBF,C1,10000000000000000,64,8,8,F89E51B3C140B950,00FFC2F4C151B950,NO
FFFF0007FC00007F,FFFF003C01FFFFE0,FFFF000FFC07FC07,49,10000000000000000,64,8,8,B83E4F9CCF8225DD,010047D57545EAE5,NO
FE007800FFF83FE0,FFFFFFFFFC000000,FFFF00003FFE0FFB,CD,10000000000000000,64,8,8,A7DC4F8BE5114542,0001D027AB0F553D,NO
FFF8000FFFE00001,F80007FFC3FFF9FF,FFE01FFFC0007FFD,AB,10000000000000000,64,8,8,89AB32161AA5147F,01E71EA0340EC92A,NO
F000000000000000,FFFFFFFFFFFFC01F,FFF87C0001FFFDFF,01,10000000000000000,64,8,8,00070BBFFE1FC5FE,000F97D010300FE0,NO
FFFFFFFFFFE00000,FFC0003FFFFFFE00,FFFE0000003FFFFF,01,10000000000000000,64,8,8,F7D010203FDD8A00,01FF0FE0021D8CFF,NO
