A,B,N,N'(0),R,N BIT TOTAL,N BITS PER WORD,N WORDS,GOLDEN_RESULT,MODULE_RESULT,PASSED
AABBCCDDEEFF1122,1122334455667788,FEF93EAFAEF9FFA9,EB67,10000000000000000,64,16,4,91FF87C0984891FE,91FF87C0984891FE,YES
00520600DFE21FE1,00523DC11F7101F0,FF9E01FF001E000F,1111,10000000000000000,64,16,4,3A5CA4D1C30E139F,3A5CA4D1C30E139F,YES
01FD021FBF0F20DF,01FD201FBF8F00FF,FE00FFE03FF0FF01,FEFF,10000000000000000,64,16,4,04490F55B13194E7,04490F55B13194E7,YES
07C13DFFBC1E7FA0,0F4047FFB0037F9D,F03FC0003FFF807F,C081,10000000000000000,64,16,4,39F4572690A7FE09,39F4572690A7FE09,YES
FBFF007FF8000F00,FFF003FFFDFFF030,FFFF00001F0000F7,3F39,10000000000000000,64,16,4,28B87F9C64F218B6,28B87F9C64F218B6,YES
00001E2FC000F181,FFFFE00000000000,FFFFE1CFFFFF0E7F,4E81,10000000000000000,64,16,4,FFFFDFFFC0000800,FFFFDFFFC0000800,YES
F801FFFFFFF00000,000027FC00008FC1,FFFFC001FFFFEFFF,F001,10000000000000000,64,16,4,37A6988B4347863B,37A6988B4347863B,YES
0000003405FFFF61,000000080007FB89,FFFF0007FC00007F,4081,10000000000000000,64,16,4,7AB68F74DAAD6056,7AB68F74DAAD6056,YES
01FF87FEFC07C021,01FE87FF4005D01D,FE007800FFF83FDF,C3E1,10000000000000000,64,16,4,47CF79E16FE0563D,47CF79E16FE0563D,YES
F80007FFC3FFF9FF,FFE01FFFC0007FFE,FFF8000FFFE00001,FFFF,10000000000000000,64,16,4,9F265193A08B6D08,9F265193A08B6D08,YES
0FFFFFFFFFFFC020,0FF87C0001FFFE01,EFFFFFFFFFFFFFFF,0001,10000000000000000,64,16,4,E20E0F483C978401,E20E0F483C978401,YES
AABBCCDDEEFF1122,1122334455667788,FEF93EAFAEF9FFA9,67,10000000000000000,64,8,8,91FF87C0984891FE,91FF87C0984891FE,YES
00520600DFE21FE1,00523DC11F7101F0,FF9E01FF001E000F,11,10000000000000000,64,8,8,3A5CA4D1C30E139F,3A5CA4D1C30E139F,YES
01FD021FBF0F20DF,01FD201FBF8F00FF,FE00FFE03FF0FF01,FF,10000000000000000,64,8,8,04490F55B13194E7,04490F55B13194E7,YES
07C13DFFBC1E7FA0,0F4047FFB0037F9D,F03FC0003FFF807F,81,10000000000000000,64,8,8,39F4572690A7FE09,39F4572690A7FE09,YES
FBFF007FF8000F00,FFF003FFFDFFF030,FFFF00001F0000F7,39,10000000000000000,64,8,8,28B87F9C64F218B6,28B87F9C64F218B6,YES
00001E2FC000F181,FFFFE00000000000,FFFFE1CFFFFF0E7F,81,10000000000000000,64,8,8,FFFFDFFFC0000800,FFFFDFFFC0000800,YES
F801FFFFFFF00000,000027FC00008FC1,FFFFC001FFFFEFFF,01,10000000000000000,64,8,8,37A6988B4347863B,37A6988B4347863B,YES
0000003405FFFF61,000000080007FB89,FFFF0007FC00007F,81,10000000000000000,64,8,8,7AB68F74DAAD6056,7AB68F74DAAD6056,YES
